filename,description
2friends.png,"Two friends stand on a rooftop overlooking the city at sunset, wide cinematic shot."
detective.png,"A detective sits at a desk in a dim office, close-up with dramatic side lighting."
white-dress-woman.png,"A woman in a white dress walks through a green forest at sunrise, shot from behind."
woman-desert.png,"A young woman stands in a bright desert at noon, wide shot with harsh sunlight."
the pianist.png,"A musician plays piano alone on a dark stage, side view with a single spotlight."
chef-restaurant-above.png,"A chef works alone in a warm restaurant kitchen at night, eye-level medium shot."
woman-rain.png,"A woman looks out a train window during heavy rain, side-profile medium shot."
astronaut.png,"An astronaut stands alone on a barren lunar landscape in a wide shot."
soldier.png,"A soldier walks across an empty field at dawn, long shot with heavy morning mist."
red-car.png,"A red sports car drives through a neon-lit city street at night, side view."
man-streetlamp-fog.png,"A man stands under a streetlamp in thick fog, full-body shot from a distance."
cowboy.png,"A cowboy rides through a dusty town at sunset, high-angle cinematic shot."
man-neon.png,"A man in a black coat walks through a rainy neon alley at night, shot from behind."
lone-biker.png,"A lone biker stands beside a motorcycle on a foggy mountain road at sunrise, wide cinematic shot from the side."
woman-red-coat.png,"A woman in a red coat sits alone in a dim train carriage at night, close-up portrait with soft window light."
